Source,Destination,Number of Tweets
ES,AR,1097.0
AM,NO,2.0
FR,CN,165.0
GB,LU,483.0
US,LA,428.0
GB,QA,328.0
TW,NZ,35.0
IN,TR,1717.0
NL,IN,1595.0
KW,IN,2392.0
BE,PT,523.0
US,TC,1469.0
NG,PA,85.0
CO,CU,1065.0
PT,GB,1929.0
CU,GB,4157.0
IL,CA,3179.0
US,DJ,1016.0
CN,CA,2706.0
DE,CA,6790.0
NL,IL,103.0
KE,SE,217.0
US,SK,2037.0
JM,US,901.0
CA,NZ,977.0
HK,ES,682.0
ZA,HR,33.0
KR,ID,3268.0
ES,HK,465.0
SI,US,1056.0
NL,AM,19.0
LK,CA,32.0
ID,KR,1254.0
CO,HK,526.0
SE,ZA,744.0
IT,TR,760.0
UY,US,646.0
SG,CH,60.0
ES,DE,909.0
TZ,AU,5.0
IN,TJ,49.0
KE,NG,2603.0
NL,PH,80.0
EG,MY,644.0
HK,MY,3957.0
CA,IT,2526.0
BF,ES,267.0
IN,CU,187.0
FR,KW,114.0
JP,IN,2340.0
HR,GB,461.0
AU,IE,859.0
ZW,GH,599.0
GB,BW,67.0
HU,GB,230.0
CU,SE,459.0
IN,BN,555.0
KR,PL,441.0
GB,RU,1835.0
CH,CO,1064.0
EG,SA,1171.0
BE,EC,654.0
NL,HR,46.0
PK,DE,712.0
CH,DK,205.0
EG,SE,59.0
IL,PH,572.0
NL,ES,676.0
AR,TW,5.0
NG,MX,1308.0
TR,DK,206.0
SI,VN,1.0
NO,SI,23.0
PL,FR,450.0
SE,TR,152.0
DE,CL,162.0
CH,TR,1041.0
ID,TH,472.0
PK,OM,253.0
UY,CO,464.0
GH,GB,623.0
ZA,NP,33.0
SG,UG,2.0
UM,US,505.0
ES,MX,3079.0
PH,SG,189.0
MX,PE,305.0
TN,US,316.0
KH,GB,245.0
DE,SA,373.0
IT,JP,762.0
ZW,TZ,102.0
ZW,IN,1941.0
PA,CO,1071.0
IL,NL,1326.0
TW,US,4598.0
IT,AU,1429.0
ZA,CO,409.0
BD,NG,36.0
HK,VI,15.0
BD,US,1911.0
MX,NZ,84.0
JP,KR,659.0
GB,SL,80.0
DE,PT,443.0
FR,NO,146.0
NG,IQ,153.0
KE,ZW,287.0
GR,ID,254.0
ZW,TH,7.0
TR,BE,269.0
IN,PH,1031.0
KE,MX,123.0
VE,ES,1444.0
TH,KR,1666.0
CA,IQ,163.0
AU,HK,5349.0
IN,MC,501.0
US,QA,1545.0
LB,MR,4.0
ZA,TH,301.0
VI,US,1408.0
BE,HK,1580.0
KE,DE,668.0
DK,NL,239.0
IN,QA,1571.0
BM,GB,1173.0
PK,IT,631.0
LB,DE,312.0
NP,IN,1701.0
PH,HK,553.0
KR,PK,162.0
NP,CA,600.0
CL,MX,231.0
CH,AR,339.0
EC,CH,18.0
SA,PK,918.0
PL,NA,3.0
ZA,PA,35.0
IL,HK,747.0
PK,IN,6427.0
CG,CA,363.0
IL,UG,582.0
CN,MX,5494.0
DE,PR,63.0
BN,MY,349.0
ZA,ID,716.0
IL,GR,579.0
IN,BR,4745.0
TR,ZA,285.0
CO,PE,595.0
IN,PA,322.0
DK,CA,1812.0
HK,PL,829.0
JP,CA,2204.0
ZA,SE,285.0
TR,CH,861.0
AU,SV,82.0
MX,ZA,533.0
CA,AT,315.0
GB,IQ,1107.0
NG,JP,134.0
MX,NL,531.0
AU,NO,918.0
GR,CY,195.0
NL,JP,312.0
GB,CN,2363.0
CN,JP,2697.0
CG,KE,1036.0
NG,BJ,105.0
EG,JP,331.0
JM,GB,49.0
TH,SE,504.0
IR,CA,57.0
GB,MA,655.0
RU,HU,30.0
PA,PT,8.0
US,LI,282.0
VE,KR,12.0
ES,IN,2428.0
SA,EG,1013.0
FR,AU,1275.0
NG,IT,838.0
PH,TH,298.0
CH,NG,555.0
