i,j,count,vi,vj,cij
'US','MA',481,1617816.0,1352.0,0.0002970661475523232
'IN','ID',479,259796.0,36044.0,0.001619118442401298
'ZA','CA',476,80877.0,259814.0,0.0013971604767956888
'CL','US',465,6002.0,1617816.0,0.0002863621415700528
'CO','AU',458,53611.0,119320.0,0.0026484551641984375
'IN','NZ',457,259796.0,9278.0,0.0016984175356964998
'CA','HK',455,259814.0,78856.0,0.001343490713674078
'US','KW',453,1617816.0,3949.0,0.00027932530298779417
'GB','VE',452,714016.0,13215.0,0.0006215356606085274
'MX','ES',452,55562.0,27634.0,0.005432953507380162
'US','SD',451,1617816.0,677.0,0.00027865427901140136
'BE','NL',447,16868.0,42375.0,0.00754519521293655
'CA','MX',445,259814.0,55562.0,0.0014110141545330018
'ZA','MY',444,80877.0,45204.0,0.0035215456730197255
'NZ','AU',443,9278.0,119320.0,0.003444843621207173
'US','SK',438,1617816.0,835.0,0.0002705956997524482
'IN','PL',436,259796.0,12346.0,0.0016021047835321266
'MX','IN',436,55562.0,259796.0,0.0013825556986028578
'JP','GB',436,40643.0,714016.0,0.0005777443852123939
'AU','NZ',435,119320.0,9278.0,0.003382634255587179
'AU','IT',432,119320.0,48194.0,0.0025788889286865574
'ES','VE',424,27634.0,13215.0,0.010379691057308625
'NL','GB',421,42375.0,714016.0,0.0005565904406583368
'IN','TH',421,259796.0,18117.0,0.001514862564903405
'IL','CO',420,9907.0,53611.0,0.0066122988759091915
'CO','CL',416,53611.0,6002.0,0.006978343649875028
'IT','DE',415,48194.0,86225.0,0.003087361161740528
'CA','NL',414,259814.0,42375.0,0.0013700035408304074
'IN','AE',411,259796.0,4878.0,0.0015528536992677785
'US','PY',411,1617816.0,1056.0,0.0002538804797414496
'BE','CA',411,16868.0,259814.0,0.001485459841984661
'AU','SE',410,119320.0,14655.0,0.003060272438887852
'DE','AU',404,86225.0,119320.0,0.0019655063368118906
'NZ','GB',403,9278.0,714016.0,0.0005571731550379237
'DE','NG',403,86225.0,70751.0,0.00256727143002752
'IL','ZA',403,9907.0,80877.0,0.004439108212900952
