createdAt,followers,favourites,location,userId
2020-07-21T20:26:11,5,620,,1285672385610489864
2012-03-26T01:00:43,160,2768,"Bogotá, D.C., Colombia",536879154
2006-04-01T01:55:21,4121,40,San Jose,52
2019-06-17T14:18:36,0,627,,1140624790702551041
2006-04-01T01:55:49,92055,1744,,53
2011-03-18T19:40:57,309,5,kuwait,268439606
2006-04-01T02:05:22,374,609,San Francisco,55
2006-04-01T02:05:22,2872,3274,San Francisco,56
2020-02-22T22:04:24,97,4099,"Florida, USA",1231338919133876225
2006-04-01T02:05:23,17823,48004,Bklyn 75%; SF 25%,57
2006-04-01T03:31:30,4795,21766,St louis city ⚜️,58
2006-04-01T03:31:30,8779,44807,,59
2021-07-05T01:35:21,0,88,,1411861161369341954
2006-04-01T03:31:30,7601,141,St. Louis,60
2006-04-01T03:32:37,12140,649,"San Francisco, CA",61
2020-07-21T08:13:11,11,2046,,1285487681749823489
2018-05-16T14:50:04,165,15267,Taiwan,996764726737620993
2019-01-21T13:51:17,915,91,,1087346901291360256
2006-04-01T03:32:37,18278,617,"Crystal Bay, NV",62
2010-04-17T19:58:49,921,115501,,134219839
2021-02-04T19:04:12,0,48,,1357404553616982016
2006-04-01T04:46:26,9251,196,,64
2015-09-11T20:34:21,29,9932,,3623934017
2011-11-01T11:54:33,446,568,"Amsterdam, Nederland",402659393
2006-04-01T04:46:50,7068,1366,"San Francisco, CA",66
2013-06-02T04:57:17,228,36492,,1476417602
2020-06-01T22:44:59,2,1,,1267587650833338371
2006-04-01T04:46:50,2238,197,"Durham, NC",67
2020-10-29T12:56:50,22,848,"Lille, France",1321797994287669249
2021-02-03T08:07:28,43,2,Myanmar,1356876796357005317
2017-10-30T15:02:24,478,3637,"San Antonio, TX",925015033117069312
2017-01-05T12:50:20,11,2624,,816990211330686977
2017-01-05T22:44:32,904,20914,"Plymouth, IN",817139747193835520
2020-07-21T23:21:17,119,903,,1285716427681542145
2020-05-30T20:38:08,19,184,iu anh thành,1266831211529289728
2020-05-30T14:48:37,6,764,,1266743249256865792
2021-02-03T15:06:53,9,9,"New York, NY",1356982391349211138
2019-06-19T18:44:43,10,1832,,1141416535174651904
2019-11-15T14:53:46,142,1596,,1195354175988752385
2016-01-21T04:57:46,125,5608,,4831846474
2006-04-03T16:00:21,16482,173218, The CITY of St. Louis,76
2013-04-10T15:33:50,169,231,,1342197836
2015-11-11T02:43:13,8,72,"Iquitos, Peru",4160813133
2016-01-29T21:05:04,5,4,"Roy, UT, USA",4831846476
2020-02-21T15:12:25,94,4487,spnx,1230872820021727232
2011-03-18T19:41:01,73,16781,"Columbus, OH",268439631
2013-02-22T11:24:55,143,641,,1207978064
2019-11-14T02:11:53,59,3,,1194800050448109568
2018-10-12T17:23:50,9,1103,,1050799216245727232
2021-07-02T00:48:34,5,11,,1410761737922437121
