Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
AU,NL,3.0,7325.0,694.0,3511.0,390.0,0.7692307692307693,0.0854457419538593,7.026228936038997e-08,0.0003741114852225963,0.0007690335811330429
LB,IS,5.0,138.0,7.0,70.0,6.0,83.33333333333334,7.142857142857142,6.928061503450313e-07,0.034482758620689655,0.06578947368421052
ZW,US,4.0,195.0,160440.0,98.0,79731.0,0.005016869222761535,4.081632653061225,1.166571913321222e-08,2.490117346779967e-05,5.010710393466034e-05
NO,CA,2.0,220.0,12545.0,106.0,6425.0,0.0311284046692607,1.8867924528301887,4.6579701432498164e-08,0.00015667841754798275,0.0003062318174858368
NG,CH,1.0,998.0,508.0,492.0,244.0,0.4098360655737705,0.20325203252032523,4.772394234449527e-09,0.0006640106241699867,0.001358695652173913
DE,IT,1.0,1019.0,337.0,523.0,167.0,0.5988023952095809,0.19120458891013384,6.972032632319854e-09,0.0007374631268436578,0.0014492753623188406
VG,PE,1.0,21.0,32.0,13.0,24.0,4.166666666666666,7.6923076923076925,3.0730951350660655e-08,0.018867924528301886,0.02702702702702703
GB,CY,2.0,24326.0,11.0,12224.0,8.0,25.0,0.016361256544502618,2.9397506915028564e-08,8.21793976250154e-05,0.00016350555918901244
GB,HR,1.0,24326.0,22.0,12224.0,11.0,9.090909090909092,0.008180628272251309,1.410399339763861e-08,4.10711352061771e-05,8.173273395995096e-05
IL,ID,2.0,599.0,106.0,328.0,63.0,3.1746031746031744,0.6097560975609756,7.15105869207108e-09,0.0028368794326241137,0.005115089514066497
CN,GB,4.0,160.0,24326.0,90.0,12102.0,0.03305238803503553,4.444444444444445,2.7312154757933893e-09,0.00016335865392469166,0.00032808398950131233
FR,MC,1.0,318.0,52.0,165.0,32.0,3.125,0.6060606060606061,1.4903384858259348e-08,0.002702702702702703,0.005076142131979695
NG,UG,1.0,998.0,50.0,492.0,24.0,4.166666666666666,0.20325203252032523,4.0777514159757324e-09,0.0009541984732824427,0.001937984496124031
AT,US,6.0,104.0,160440.0,52.0,79731.0,0.0075253038341423035,11.538461538461538,1.779799682952417e-08,3.737293203109428e-05,7.520399082511312e-05
BD,GH,1.0,36.0,50.0,16.0,21.0,4.761904761904762,6.25,5.168919861722917e-09,0.011627906976744186,0.02702702702702703
KR,NO,1.0,58.0,220.0,33.0,114.0,0.8771929824561403,3.0303030303030303,1.752633515884135e-08,0.0035971223021582736,0.006802721088435374
HK,SE,1.0,577.0,330.0,287.0,197.0,0.5076142131979695,0.34843205574912894,5.6202341468228844e-08,0.0011025358324145535,0.002066115702479339
PT,GB,8.0,133.0,24326.0,46.0,12102.0,0.06610477607007106,17.391304347826086,1.0375620549653168e-07,0.0003270779672104338,0.0006585446163977609
DE,FI,1.0,1019.0,263.0,523.0,138.0,0.7246376811594203,0.19120458891013384,1.1279919747431769e-08,0.00078003120124805,0.0015128593040847202
MY,US,9.0,227.0,160440.0,105.0,79731.0,0.011287955751213455,8.571428571428571,2.4986861075551106e-08,5.601648129360728e-05,0.0001127310987524425
JP,CH,2.0,503.0,508.0,249.0,244.0,0.819672131147541,0.8032128514056224,1.4832420018418453e-08,0.0019782393669634025,0.004056795131845842
US,LI,1.0,160440.0,1.0,80709.0,1.0,100.0,0.0012390191924072905,3.0462028986436118e-09,6.232820787703891e-06,1.2390038409119069e-05
BR,AU,2.0,67.0,7325.0,31.0,3814.0,0.05243838489774515,6.451612903225806,8.459741827121674e-09,0.00027056277056277056,0.0005201560468140442
AU,CO,2.0,7325.0,125.0,3511.0,75.0,2.666666666666667,0.05696382796923954,2.641877053646616e-08,0.00026845637583892615,0.0005577244841048522
MX,DE,1.0,520.0,1019.0,263.0,496.0,0.20161290322580644,0.38022813688212925,4.745896896870635e-09,0.000649772579597141,0.0013175230566534915
