2020-04-12T22:04:24,6,17,,1249458274702741504
2020-07-21T05:27:34,85,72652,,1285446220282916864
2017-06-03T07:36:15,70,16,Johor Terengganu Selangor,870906964913471488
2020-01-03T22:36:59,1734,274376,Somewhere Safe,1213227727492222976
2020-02-22T00:43:04,1027,20976, she/her ☆ 18 ☆ carrd!,1231016438628044802
2017-09-09T16:05:41,50,1479,Paraguay,906549175290081285
2021-03-24T20:32:21,0,218,,1374821358836797442
2020-04-12T08:21:45,8,1748,,1249251303450001409
2019-09-26T13:33:43,34,772,,1177214622664814592
2020-09-08T10:46:26,2,0,,1303283373146734595
2013-02-22T12:16:36,139,632,,1208175662
2013-10-21T20:17:57,6,205,,2147714832
2019-01-20T11:46:44,6,518,Venezuela,1086953166875316224
2020-06-02T03:09:57,11,38,,1267654593267130369
2018-10-14T17:08:52,30,1681,,1051520222606188544
2018-03-29T06:01:53,84,2712,"Jawa Tengah, Indonesia",979237184912875520
2010-04-18T11:00:41,9,292,Digital World,134422016
2010-04-18T10:43:33,10,62,"New Orleans, LA",134418670
2020-04-13T14:40:57,2,100,,1249709115019915272
2016-08-08T14:57:51,175,1340,,762664124279054336
2021-03-25T11:12:16,81,921,Nawan shaher kabir wala khanew,1375042439862435841
2020-01-04T17:00:39,22,838,,1213505462223556608
2020-04-13T01:34:13,11,184,"Coatzacoalcos, Veracruz de Ign",1249511083473158144
2016-09-26T13:03:08,177,3511,,780392257853788161
2020-04-13T00:14:11,0,1,,1249490972959854593
2020-01-04T17:50:57,27,9961,"National Capital Region, Repub",1213518130766417920
2015-03-15T23:03:08,36,1682,,3087240001
2014-01-08T10:29:49,212,11810,和歌山県 和歌山市,2281946676
2012-09-05T22:22:51,14,121,instituto de quimica unam,805505322
2016-03-13T19:39:16,90,6300,"California, USA",709101540275912706
2014-12-31T12:07:01,74,3026,,2953023226
2020-10-26T22:08:17,18,663,,1320849722685509635
2012-11-10T19:29:50,225,2379,,939752604
2010-04-18T12:00:18,245,593,,134434642
2010-04-18T11:45:47,434,6968,,134431254
2016-01-02T18:53:32,55,5053,,4697838852
2019-03-10T13:30:38,40,2572,,1104736319652220928
2020-04-10T17:17:58,3,3,,1248661479081082881
2016-03-12T16:24:28,0,1389,,708690127774679040
2016-05-01T06:09:36,533,9017,Santa fe,726654786540560384
2020-04-13T03:36:10,0,76,,1249541826983284736
2011-11-01T17:53:56,3,121,,402867771
2021-05-15T06:23:25,12,49,"New Delhi, India",1393451896313024525
2019-09-25T10:01:53,321,28597,Peak District,1176798615890792448
2014-01-08T10:42:02,14,753,"Bhubaneshwar, India",2281959120
2021-02-03T19:52:39,0,61,,1357054376746041348
2011-11-01T18:14:19,414,315,Milano,402879682
2020-12-16T05:37:01,82,527,,1339081651494776835
2014-12-31T13:07:43,5,82,,2953036401
2013-10-22T00:38:36,205,13725,,2147743109
2020-04-11T23:29:58,251,18250,,1249116295313924096
2021-10-11T13:12:05,437,1602,🇵🇭,1447550538673909761
2011-03-19T06:22:57,290,154,,268660360
2019-03-11T01:52:11,60,420,,1104922935846936581
2010-04-18T13:06:33,188,278,"Pichincha, Ecuador",134450293
2011-11-01T18:33:09,54,3624,"Missouri, USA",402890617
2011-03-19T07:04:04,72,30,,268671605
2012-03-26T10:47:25,46,266,"Noida, India",537111898
2013-01-09T14:49:56,279,2709,"Dyer, IN",1073991740
2020-07-19T15:38:59,6,17,Dehaag,1284875221829394433
2017-07-22T00:49:56,73,724,"Michigan, USA",888561714140250118
2016-03-12T20:08:19,134,361,,708746464592322560
2018-03-29T18:20:20,51,44986,"Kota,India",979423024926441472
2015-03-15T22:49:13,2137,729,"Melbourne, Victoria",3087214327
2021-02-03T12:18:21,7,22,,1356940046327283713
2018-07-05T12:17:21,666,476,"New Hampshire, USA",1014845686641242112
2018-07-05T10:10:39,220,1921,"Southampton, England",1014813803756838914
2019-09-25T16:19:21,104,19648,"Dublin City, Ireland",1176893913698852865
2020-09-07T02:27:32,2523,8862,,1302795565659574272
2018-10-14T15:26:17,1,31,,1051494406497263621
2018-05-17T13:12:50,629,82972,,997102645906046976
2018-03-28T14:33:41,144,10361,"General Trias, Calabarzon",979003596808204289
2021-05-16T03:23:43,92,1081,ot7,1393768982608367618
2013-04-10T17:22:44,6,1030,,1342434404
2013-04-10T17:19:31,59,37030,,1342435207
2020-12-15T07:46:17,29,1141,,1338750246181101568
2020-02-23T11:50:23,188,21825,バーチャル関西,1231546669788844032
2014-06-06T15:58:03,23,8,,2550353946
2020-05-30T17:55:10,3,5,,1266790217945677824
2020-04-13T02:36:17,15,15662,"New York, NY",1249526691518492673
2017-10-30T11:00:22,26,6,India,924954121219710977
2013-01-09T14:47:59,7,30,Italia,1073976228
2021-03-26T02:40:48,8,216,,1375276422969880583
2016-06-21T17:13:04,90,1997,"Tejupilco, México",745303534275432448
2018-05-16T19:13:42,61,934,,996831070023712770
2016-03-14T07:33:09,18,6635,"กรุงเทพมหานคร, ประเทศไทย",709281195805134848
2014-07-27T08:48:12,169,69,,2684568145
2014-06-06T16:02:45,267,632,,2550365520
2019-09-25T13:49:34,139,118,"Dallas, TX",1176856215697145856
2020-09-07T12:46:57,356,3726,"ㅤ 
2016-03-12T14:41:18,14,493,,708664167918604289
2020-05-31T04:53:09,694,3752,,1266955709746421767
2011-03-19T08:12:02,289,708,,268690542
2014-01-08T10:13:20,88,18,Reino Unido,2281930578
2020-12-15T18:41:44,0,6,,1338917113445183499
2018-08-25T22:07:20,86,318,"Detroit, MI",1033475941186453504
2010-04-18T14:46:43,74,592,"São Paulo, Brasil",134477806
2010-04-18T15:02:48,81,1195,,134482653
2014-12-31T05:45:32,137,35279,BadBitchville,2953098690
2020-09-03T18:17:16,27,75,,1301584972621332481
2020-04-07T17:41:43,156,318,,1247580275288100865
2016-11-13T09:31:31,83,237,,797733623046795264
2021-01-31T04:29:09,243,5194,,1355734775558889478
2019-12-30T09:25:16,41,435,"Rajasthan, India",1211578901626937345
2020-12-14T17:27:34,0,0,,1338536063544020993
2012-03-26T09:11:16,2269,13427,,537148005
2019-06-16T00:48:42,60,2051,nini's s♡ul. | 𝐟𝐚𝐦(𝐢𝐥𝐲).,1140058583553445890
2017-07-18T13:04:59,20,800,"Perth, Western Australia",887297145442664449
2010-04-18T15:31:05,123,1571,,134490939
2011-03-19T09:26:21,5998,3670,Sede Inspectorial en Madrid,268711494
2019-11-11T13:04:31,44,1921," BASTA, MALAYO ",1193877105462824960
2014-06-06T16:26:10,11,1344,,2550444949
2015-07-02T21:52:04,11,58,"Boca Raton, FL",3355764352
2014-06-06T16:25:09,243,2713,,2550442363
2019-03-08T21:38:37,1,744,Galt Valley,1104134349249748992
2017-02-19T14:32:29,496,28490,in my dreams,833323375229427716
Karya 𝙂𝙄𝙇.",1247815895180705792
2020-02-19T19:16:03,138,598,,1230209379779084288
2012-11-10T19:44:31,100,7242,"Münster, Germany",939788204
2020-10-25T22:18:41,7,2,"Cali, Colombia",1320489949247033345
2017-07-19T13:57:52,359,748,Global,887672842606714880
2021-05-11T13:15:02,169,27635,,1392105787527335945
2017-05-31T20:04:54,460,9636,"Paraná, Brasil",870008203815333889
2020-04-09T03:07:06,2,1,,1248084935421890562
2018-10-10T20:02:40,262,10268,fenerbahce,1050114410285535233
