i,j,count
'SA','IN',93
'MX','FR',93
'RU','IN',93
'CO','IL',92
'IN','SE',92
'UY','AR',91
'SI','US',91
'CN','BR',91
'PL','BR',91
'CA','PR',91
'GB','FI',91
'SG','JP',91
'ZA','NA',91
'IN','TW',91
'SK','US',90
'PS','CA',90
'FR','IT',90
'BE','SE',90
'ID','SA',90
'VN','MY',90
'US','VC',90
'MX','CL',90
'VN','IN',90
'ZA','TH',89
'MX','AU',89
'JM','US',89
'GB','CU',89
'NL','MX',89
'NG','MY',88
'IT','RU',88
'MX','IE',88
'TR','CU',87
'NO','NL',87
'CU','AR',87
'CA','TH',87
'FR','NG',87
'CG','GB',87
'CH','ES',86
'NL','CO',86
'AR','CO',85
'DE','FI',85
'LB','EG',85
'PA','IN',85
'CN','IT',85
'VC','US',85
'BN','US',85
'ES','HK',85
'AU','SA',84
'US','DM',84
'PA','MX',84
'DK','IT',84
'DE','RU',84
'IN','IE',84
'JP','KR',84
'ES','PT',84
'NL','ES',84
'GB','JO',83
'GB','VN',83
'HK','TH',82
'US','CY',82
'CA','CU',82
'BE','HR',82
'ZW','MY',81
'FR','DE',81
'MX','PA',81
'CR','CR',81
'IL','AU',81
'CU','TR',81
'AE','GB',81
'FR','BE',81
'SE','CA',81
'CA','BE',81
'VN','NG',80
'AU','IE',80
'AR','VE',80
'GB','RO',80
'CU','UY',80
'IT','SE',80
'IT','PK',79
'CH','KE',79
'IL','CL',79
'BR','IN',79
'IL','IL',79
'TZ','US',79
'NG','MX',79
'CA','VE',79
'HT','US',79
'LS','LS',78
'CN','TW',78
'SA','AE',78
'PL','IN',78
'AU','CH',78
'IL','RS',78
'US','PF',78
'CO','DO',77
'EG','SA',77
'ID','DE',77
'CU','CL',77
'CU','MX',77
'TN','US',77
'JP','IT',77
'US','MP',77
'MY','TH',76
'PR','CA',76
'KW','PK',76
'GB','EC',76
'CH','AT',76
'ES','NG',75
'TH','DE',75
'NA','US',75
'VE','MX',75
'HK','LB',74
'GB','BS',74
'MY','CH',74
'DE','RS',74
'US','AZ',74
'UG','ZA',73
'EC','EC',73
'MY','BN',73
'FJ','GB',73
'HU','GB',73
'IN','KE',73
'CH','GR',73
'KR','CA',73
'FR','UY',73
'CN','DO',73
'LS','ZA',72
'ZA','NL',72
'PL','BE',72
'BE','MX',72
'CO','GR',72
'KR','MX',72
'NG','SG',72
'IT','SA',71
'NG','AU',71
None,'PK',71
'AU','BE',71
'CA','AE',71
'US','VU',71
'GB','CZ',71
'ID','IT',70
'CU','BR',70
'SA','PK',70
'JP','MX',70
'GB','DO',70
'GR','DE',70
'ES','AU',70
'IR','US',70
'TR','BE',70
'IN','HK',70
'IT','MX',69
'LB','SA',69
'ZA','TR',69
'IL','NL',69
'NG','BJ',69
'UM','US',69
'RU','CA',69
'HK','SI',69
'CA','AT',69
'NL','JP',68
'US','FJ',68
'KH','US',68
'PK','CN',68
'CL','ES',67
'VE','ES',67
'CZ','ID',67
'IL','PK',67
'US','KY',67
'IN','OM',67
'AU','PL',67
'CH','DK',67
