i,j,count
'NG','CA',1078
'GB','TW',159
'CN','NL',56
'BD','NG',2
'US','LA',112
'HK','VI',8
'BD','US',280
'MX','NZ',13
'JP','KR',84
'DE','IT',755
'GB','SL',32
'DE','CO',896
'DE','PT',57
'FR','NO',41
'NG','IQ',16
'KE','ZW',113
'GR','ID',63
'ZW','TH',2
'CO','MX',965
'SV','US',134
'TR','BE',70
'IN','PH',283
'US','EC',351
'KE','MX',18
'VE','ES',67
'PT','US',882
'TH','KR',930
'CU','US',1148
'CA','IQ',41
'AU','HK',2619
'CN','CA',300
'IN','MC',40
'US','QA',196
'TH','VN',15
'LB','MR',4
'IN','AE',411
'ZA','TH',89
'CN','HK',651
'US','UG',633
'IL','NG',44
'MY','KR',137
'GB','IQ',315
'NG','JP',14
'CA','AU',1595
'TR','CH',113
'MX','NL',106
'AU','NO',165
'GL','US',42
'DE','CA',965
'US','IR',229
'GR','CY',124
'NL','JP',68
'GB','CN',254
'FR','CN',18
'EC','US',968
'US','KH',174
'GB','BE',520
'VE','MX',75
'CN','JP',319
'JP','AU',201
'CG','KE',384
'GB','SA',1099
'NG','BJ',69
'ES','MX',500
'EG','JP',14
'IT','IN',529
'GB','KR',242
'JM','GB',22
'TH','SE',48
'IR','CA',5
'NG','FR',99
'SE','DE',132
'GB','SG',675
'GB','MA',53
'RU','HU',9
'PA','PT',2
'US','LI',32
'VE','KR',2
'ES','IN',268
'DO','DO',940
'VE','CO',1590
'SA','EG',571
'FR','AU',221
'UM','US',69
'JP','IT',77
'NG','IT',113
'PH','TH',46
'CH','NG',148
'NG','EG',195
'KE','KW',18
'PK','AU',120
'IL','CH',33
'PK','PH',48
'CA','MC',14
'US','DO',1214
'EG','AE',25
'IT','AT',94
'KE','GH',102
'GB','AR',283
'BM','CA',9
'US','SV',315
'TH','DE',75
'CA','ID',352
'ES','PY',52
'VE','US',922
'PS','US',2229
'CH','AR',10
'DK','HK',1161
'GB','PR',152
'NL','DE',323
'SA','PK',70
'NL','IN',171
'NP','SG',5
'PL','IT',39
'IN','DJ',60
None,'US',166
'ZA','MX',198
'SE','ES',28
'CO','GR',72
'AE','IN',114
'CO','IT',348
'CO','PT',41
'IT','MY',51
'NO','MC',6
'CN','MX',367
'PL','CA',96
'PE','PE',467
'TH','IN',226
'ID','GB',699
'GB','BN',293
'BE','CA',411
'TR','IT',192
'NL','MY',15
'FR','BR',235
'CH','PL',104
'PA','SE',23
'IL','SE',234
'US','SK',438
'CO','PY',188
'GR','US',890
'CH','ZW',5
'CU','PA',165
'BG','BG',10
'DE','LI',116
'KR','MY',107
'EC','IN',28
'VI','VI',219
'VE','AU',16
'AU','ID',1156
'US','CR',284
'MY','GB',829
'TH','HK',220
'CL','US',465
'US','SY',50
'CN','MY',393
'SK','US',90
'IL','CA',320
'IL','CO',420
'SI','US',91
'NL','SA',23
'MX','CA',337
'CO','HN',8
'IN','CN',237
'CA','SA',98
'AU','TW',109
'JO','US',128
'FR','JP',63
'TW','JP',171
'US','GT',8
'CU','VE',910
'ZA','CA',476
'LI','US',19
'JP','TW',97
'NL','BE',304
'CA','PA',37
'ZA','MZ',37
'PL','TT',1
'DK','GB',198
'CN','CO',590
'PK','MY',146
'PK','GB',623
'GB','EG',274
'AT','AT',355
'US','BT',11
'BJ','FR',10
'ID','CA',123
'IT','RU',88
'AU','CL',32
'PL','BR',91
'SG','DE',32
'GB','IL',113
'MX','UG',25
'AU','SN',31
'TR','GB',217
'HK','KE',304
'CL','MX',60
'SE','BE',32
'PS','AU',99
'SG','IN',103
'CN','CN',902
'PA','ID',56
'BR','DE',60
'NO','NL',87
'US','MV',249
'CN','BR',91
'IL','IN',647
'US','CZ',242
'CD','AU',6
'NP','UG',3
'KE','CH',58
'NG','ZW',120
'BE','IT',624
'US','LS',23
'MV','MV',748
'CO','SE',51
'CZ','ID',67
'IN','NO',56
'ZA','AU',563
'CH','PT',16
'RU','GB',239
'DE','JO',54
'ID','MY',861
'NO','CO',104
'FJ','AU',231
'ID','AU',104
'US','SI',1314
'US','PF',78
'NL','SR',2
'US','TC',153
'SG','JP',91
'TZ','TZ',366
'LS','ZA',72
'RO','GB',25
'IN','SE',92
'RU','VE',26
'SE','VE',13
'ID','SA',90
'PT','ZA',5
'FI','MY',1
'BR','PT',172
'VN','IN',90
'JE','JE',223
'FR','CO',258
'FR','ES',281
'MC','NL',26
'PY','PY',319
'MV','GB',25
'MC','US',115
'CA','NZ',97
'TH','GB',1039
'TW','US',837
'US','SR',45
'JP','MY',290
'CA','PK',114
'DE','ZA',244
'AU','MX',401
'CA','DK',47
'IT','JP',114
'HK','VE',139
'IT','GR',104
'NG','GH',192
'IE','IN',29
'LS','LS',78
'AR','CA',34
'HK','NA',4
'CN','AE',58
'IE','SE',11
'IL','ZA',403
'AU','SE',410
'GB','VN',83
'UY','ES',19
'ID','PK',117
'LK','KE',1
'IQ','GB',298
'US','EE',127
'CU','CL',77
'RU','ZA',303
'IE','FI',6
'IN','IT',380
'CU','CO',788
'JP','NL',40
'BE','DE',673
'MX','NG',42
'TT','TT',118
'SE','IN',94
'US','PG',178
'IN','MY',548
'IL','AU',81
'ES','NO',23
'US','MZ',150
'BR','CO',20
'TZ','IT',6
'IL','AR',21
'GB','NA',34
'MZ','SE',11
'NA','NA',428
'IL','ES',96
'TH','CA',209
'IN','UG',11
'EC','EC',73
'IL','IT',260
'PK','JP',45
'IT','AU',303
'CN','TW',78
'HK','SE',325
'CN','KE',13
'BE','PL',893
'IN','CH',196
'MC','FR',60
'SE','IE',23
'SV','SV',306
'IL','FR',57
'PT','GB',347
'BE','AU',385
'KE','AT',43
'VE','NL',17
'IT','PK',79
'CA','UG',39
'BM','GB',233
'DE','PK',60
'EG','ES',5
'IL','JP',36
'MX','DE',164
'FR','MY',19
'CH','GR',73
'JP','NG',10
'IT','CH',378
'GB','RU',158
'US','CY',82
'SE','CO',96
'KP','US',167
'MY','FR',40
'IN','BR',187
'GB','GD',5
'CN','CH',49
'ES','NL',54
'TN','GB',5
'GB','CU',89
'AQ','US',12
'KR','BN',44
'SG','GB',32
'VN','NG',80
'CO','GB',188
'IN','SK',47
'PL','NL',55
'TH','MX',25
'CH','CO',33
'CO','AR',223
'HK','FR',124
'AS','US',41
'CH','BD',7
'VE','DE',36
'CO','BE',169
'MX','GR',50
'KE','ES',46
'ES','SI',3
'NG','SG',72
'TH','CN',231
'CN','CM',4
'GB','UM',33
'AZ','PK',18
'ES','AR',130
'BH','SA',7
'CG','SS',3
'AU','KE',44
'AT','AU',41
'KR','PL',145
'GB','QA',127
'GB','BJ',63
'FR','IN',502
'HR','AU',14
'DE','BD',14
'BH','ES',4
'FJ','NZ',28
'IN','KE',73
'TH','PH',40
'CH','AE',4
'PK',None,103
'ID','AE',30
'DE','PE',9
'CA','NL',414
'TW','CN',154
'NZ','AU',443
'TR','CA',110
'CA','IL',146
'AU','MC',4
'MY','CA',285
'DO','US',151
'IL','ID',15
'PH','NL',2
'IQ','SA',27
'US','CD',169
'US','ZM',39
'PR','DE',12
'CH','BE',177
'OM','KW',22
'BE','FR',219
'AU','NG',249
'MY','IN',33
'FR','NL',106
'US','HN',98
'KR','MU',30
'NL','HK',58
'GB','JO',83
'PA','CH',56
'PH','GB',116
'MR','MR',221
'CG','MZ',23
'FR','NG',87
'CA','CL',63
'CN','ES',52
'FI','GB',33
'RO','RO',182
'CH','ES',86
'CU','CA',131
'CZ','CA',17
'BD','DE',39
'QA','TR',15
'IN','KR',11
'AU','CN',44
'FR','DE',81
'RU','JP',27
'US','VU',71
'BN','AE',1
'PL','HK',141
'PK','ZA',66
'AR','PR',12
None,'GB',36
'US','MG',16
'SA','LB',57
'FR','PA',11
'IL','BR',55
'KE','AG',6
'DE','IE',49
'SE','ZA',347
'VN','ZA',119
'LB','IQ',3
'US','BN',621
'PH','IT',14
'AT','GB',48
'FR','MA',160
'DZ','US',8
'BE','MX',72
'AU','VU',28
'RS','BE',37
'US','BB',44
'KW','IN',124
'TW','NL',19
'TH','CH',34
'FR','AR',21
'PH','AF',1
'CA','HR',14
'SG','KR',14
'KG','KG',30
'DE','BR',67
'PT','BR',208
'KR','ID',742
'IT','CU',137
'AR','DE',9
'ID','FR',7
'KE','IT',42
'NL','KE',44
'GB','NP',105
'MV','IN',124
'IN','IE',84
'DM','MX',1
'CO','CL',416
'MC','GB',175
'US','VC',90
'HK','BE',209
'JP','GB',436
'DE','AE',15
'NG','DE',388
'CH','JP',142
'IT','BR',58
'DE','GR',116
'DE','MX',131
'PK','IN',632
'CA','SE',289
'IL','ZW',29
'CG','IN',13
'NL','ZA',48
'NO','DE',52
'CN','TL',2
'AR','VE',80
'TH','AU',398
'DE','VN',38
'PA','IL',25
'BD','AU',38
'KR','VN',309
'ZM','FR',2
'NZ','DK',2
'MX','PY',119
'ES','UY',31
'HK','JE',6
'NG','CN',9
'IT','MZ',5
'GB','JE',291
'DE','JP',154
'ZW','ZA',510
'PR','IN',6
'IT','LB',93
'ZA','PG',109
'PL','DE',175
'ZW','CA',64
'DZ','DZ',17
'CN','IT',85
'SD','CA',7
'GH','GB',114
