i,j,count
'IN','IN',768.0
'ID','US',25.0
'US','US',2211.0
'US','GB',826.0
'FR','NG',110.0
'DE','DE',5062.0
'DE','DE',1237.0
'KE','KE',56075.0
'IT','IT',12.0
'NZ','NZ',75.0
'US','NO',4.0
'US','US',2744.0
'IN','GB',31364.0
'US','AU',24390.0
'US','US',9443.0
'US','US',999.0
'US','US',36.0
'US','US',46.0
'US','US',2423.0
'MX','MX',3421.0
'US','US',7.0
'PG','PG',3062.0
'US','US',982.0
'NG','NG',276603.0
'US','IL',1088.0
'ID','ID',7906.0
'US','US',14.0
'US','US',1062.0
'US','US',242.0
'US','US',62.0
'ZA','ZW',2.0
'US','US',15422.0
'US','US',336.0
'US','MX',118.0
'US','US',6438.0
'US','US',555.0
'CO','CO',6454.0
'US','JP',4732.0
'US','US',13875.0
'US','US',3018.0
'US','US',73929.0
'US','US',1.0
'US','MX',780.0
'CA','CA',259.0
'DE','US',4.0
'US','US',163.0
'US','US',4.0
'MX','US',115.0
'US','US',7913.0
